sample_id,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,detected,time_to_detection_s,localization_error_m,run_name
83,0.000177961346882398,187.3332285079083,7316.8075398846795,7384.024311376771,False,,45.50801567597582,final
84,0.00045876830541612975,503.9691774400567,7618.552242790975,7369.1330653509185,True,282.5737804508798,19.3946807878677,final
85,0.00040832878642735803,424.54222138252817,7720.990234511923,7550.998013129395,True,510.2133423135876,58.053463676275335,final
86,0.000593362538713178,608.0417646021389,7858.634119668402,7505.142355066263,True,546.6951759743733,45.08981601182904,final
87,0.0007536120704895938,767.700317046811,7910.493248757359,7397.342931710547,True,415.0760434897467,71.5157968065621,final
88,0.00028671224617016146,316.7774908222141,7265.8929211697905,7203.665430347576,True,440.2968925169679,53.03156375964557,final
89,0.000509608243378712,497.28453331613866,7823.779401889422,7581.044868573284,True,297.7113039159586,53.793642055070926,final
90,0.0005769768253190713,622.0215303465944,7887.295367888652,7519.823837542058,True,632.6293023313345,107.95851983496947,final
91,0.0002536442751567207,318.19207223187624,7579.527496756346,7515.88542452447,True,267.62882827474607,21.08529469646072,final
92,0.0004321442021803142,397.08437633412177,7710.40999956209,7567.875623227968,True,323.18742983733927,58.33852737871855,final
93,0.0007488235174966312,691.8829889500979,7965.7513637675165,7528.418374817419,True,1133.2919258183913,91.6944797138842,final
94,0.0005069157335380285,547.2252112572509,7876.521571554674,7583.846360297423,True,284.1806303060073,42.807524992720104,final
95,0.00022193975031935297,243.06658655838893,7631.030825990063,7642.5142394316745,False,,25.130097719393476,final
96,7.614940600089136e-05,70.5521830173777,7291.817212916887,7475.81502989951,False,,40.19628089586293,final
97,0.0022004889786128717,2327.5978395036386,9548.264054272431,7475.216214768793,True,587.5037623032993,111.34565041679414,final
98,0.000778425440526446,950.4530656508474,8041.730716635038,7345.827650984191,True,406.2145810708177,17.153435384129715,final
99,0.00046853472803249355,491.8125455111872,7668.523140187954,7431.260594676767,True,472.37482448747505,36.589191765264104,final
100,0.0006945377542781247,623.5084454855769,7851.883424328954,7482.924978843377,True,290.07589430395166,37.522751556906144,final
101,0.000540554289684967,467.6979890990046,7633.411453469527,7420.263464370523,True,284.58020368639575,65.19050154968491,final
102,0.0006141316517843677,733.6992531357962,7810.865456790125,7331.716203654329,True,398.6122873627751,92.14723210188022,final
103,0.0002781368489114408,243.61622377190426,7437.221243508567,7448.155019736662,False,,71.78038405880005,final
104,0.0003661020127980827,350.08768070010984,7545.427067114674,7449.889386414565,True,378.5078775272755,58.469814756134866,final
105,0.00017915326585175352,155.85957562770326,7278.814044153492,7377.504468525789,False,,27.542042575196408,final
106,0.00042091831342382357,410.64524028800594,7466.935687544222,7310.840447256216,True,289.5890123564799,39.8194047597458,final
107,0.00010139117291945899,99.66909999627445,7113.349193912522,7268.230093916248,False,,55.64392118847557,final
108,0.0008582702912615417,850.9801223730216,8132.6326069976285,7536.202484624607,True,327.989684049642,66.2432448647194,final
109,0.0002218861503264358,225.06109771444932,7305.05353614022,7334.54243842577,False,,83.61086315960394,final
110,0.00019113969701639122,200.8423427917794,7403.941417389206,7457.649074597427,False,,16.189651493129542,final
111,0.00026067657096346774,243.27435139679042,7577.757348980472,7589.032997583681,False,,4.068366843517075,final
112,0.0009069261326814497,870.5629207283222,7996.0371466221295,7380.024225893808,True,455.3649474052247,56.50311949163187,final
113,0.00010454792299788402,91.60917071250628,7301.55646032496,7464.497289612455,False,,70.8838577796758,final
114,0.000163707940811594,148.10465489556356,7246.338686725563,7352.78403183,False,,64.58444943089026,final
115,0.0006967698863313488,784.6392620182816,8096.700082738924,7566.610820720643,True,429.7314950112649,32.06889572450019,final
116,0.0002740118710207191,278.9937882333058,7587.645046780116,7563.20125854681,True,328.39707132173396,42.039294064831864,final
117,0.0004944937777021668,497.40789106330635,7699.215609537935,7456.357718474629,True,255.5789008181183,23.184300950366378,final
118,0.00017505024258575742,157.8340838228033,7516.635586990463,7613.35150316766,False,,50.210332626930274,final
119,0.0002529983113901718,228.6154112317992,7583.072966894781,7609.007555662982,False,,29.62564197241626,final
120,0.0006577399372462647,497.33583635003686,7758.194659095511,7515.408822745475,True,579.872429133269,37.20406171170129,final
121,0.00022839113894696067,225.8754005404421,7473.231505215917,7501.906104675476,False,,13.526958954570912,final
122,0.00044920609980429776,412.1598002278493,7308.136085005555,7150.526284777706,True,346.716372852032,24.51034834154949,final
123,0.00042875541564987076,383.7220987448544,7620.267376431568,7491.095277686713,True,387.31635295485853,91.58183266077324,final
124,0.00012971241760009297,141.16037365104927,7421.184309354118,7534.573935703069,False,,64.43046119177014,final
125,0.00031742722646697306,308.5747593878002,7666.940338661754,7612.915579273954,True,337.06951358373965,21.035363577428036,final
126,0.0006253374165946417,659.5599689729905,7867.998449578983,7462.988480605993,True,299.4173411336583,19.340242473888203,final
127,7.677535442817008e-05,68.66931016414651,7216.684887454836,7402.565577290689,False,,70.45506911342716,final
128,0.0003270320935383523,333.2172754841827,7478.440145148261,7399.772869664078,True,317.69953712773946,19.020664699836857,final
129,0.00038138194943709505,347.79348791166996,7414.467928637787,7321.224440726117,True,287.57961131839335,63.24856873274036,final
130,0.00012092932666398176,120.32781819710843,7277.840578536714,7412.062760339606,False,,95.06821113641533,final
131,0.0006401390711856553,585.6529489049184,7955.661368055066,7624.558419150148,True,293.7882753860515,38.35081279973744,final
132,0.0007459867014788088,794.9805234774237,7874.2661466160735,7333.83562313865,True,267.48382030475955,63.039207747900704,final
133,0.00028570946884636834,260.203195667736,7305.656547287132,7300.003351619396,True,251.35752197762804,53.01883976555498,final
134,0.0004508525352231635,483.7382650170492,7415.690517506874,7186.502252489825,True,357.4804763790556,10.452421791821987,final
135,0.00019970929055110486,174.35270209231322,7361.963636909793,7442.160934817481,False,,15.323512327403947,final
136,0.00031971718359616693,341.6249816127481,7717.987468320148,7630.9124867074,True,263.7433108422023,41.99365326417456,final
137,0.000313092129474941,301.9646349867245,7480.902314318727,7433.487679332003,True,312.1022823307717,43.21974175827651,final
138,0.00011696797946561443,116.20401637478967,7264.034621939686,7402.3806055648965,False,,35.791693569109846,final
139,0.0005165308248773418,446.275963764716,7691.355108927706,7499.62914516299,True,305.37757418913424,68.37255394355448,final
140,0.0001785832228243962,169.0463679626845,7661.418884004874,7746.922516042189,False,,44.82913091862713,final
141,0.0005006183986962439,533.778951995257,7756.653671450306,7477.42471945505,True,379.7739545685222,99.98622365273496,final
142,0.0005286758609063774,448.9424106456787,7788.732092755095,7594.339682109417,True,324.95884571213213,38.767875422831715,final
143,0.00043440257113755405,437.49016832936564,7689.259934071578,7506.319765742212,True,360.9410102613073,45.91579815846704,final
144,0.00011175692836296825,124.53319376330856,7250.4511423761105,7380.4679486128025,False,,20.66347833161572,final
145,0.000989145904751981,1025.3560290278006,8132.8037269839315,7361.997697956131,True,317.0494449934677,23.965998929609185,final
146,0.0003628211145261541,307.42195210667353,7453.798787461682,7400.926835355009,True,359.2620934051109,48.93122708006419,final
147,0.00020525261180670906,219.9854336193694,7360.036587248518,7394.601153629149,False,,75.17694657966757,final
148,0.00033335877995449234,329.8901332388236,7537.889782528833,7462.54964929001,True,353.29953711870166,29.44712582448262,final
149,0.0008382125566488557,817.2697314448723,8229.455260685425,7666.735529240553,True,351.9082188662762,51.89645820774654,final
150,0.0004141748587376147,487.0562020313382,7762.441503040693,7529.935301009355,True,407.03299710619535,40.69493732986697,final
151,0.00021685229795784017,201.98752771272902,7518.634020047206,7571.196492334477,False,,102.65186588378762,final
152,0.0005384912716019256,614.2908618260055,7805.430073657772,7445.689211831766,True,382.6000346784821,16.953410343218025,final
153,0.00021291855130871158,210.64272550707267,7483.847005094624,7527.7542795875515,False,,49.36159672157441,final
154,0.00044101339894761954,419.77063525494464,7938.826043864615,7773.60540860967,True,407.33574066289367,32.104475833295304,final
155,0.0007399483036460582,797.3054055922969,7901.497563911514,7358.742158319217,True,333.7999159496067,149.95721760170306,final
156,0.0004414290645930803,512.0242779238944,7737.418082588243,7479.943804664349,True,274.9084630211231,19.78794803711204,final
157,0.0004140317310576615,386.1308371732749,7384.918124915957,7253.337287742683,True,252.04202645519274,11.169352570465222,final
158,0.0004355632848068784,449.4364843846029,7563.35110418432,7368.464619799717,True,358.41562876007146,35.21301632435659,final
159,0.0010535408901637575,1168.8783620112954,8505.733165904634,7591.404803893339,True,325.89435382777606,14.098503885112837,final
160,0.00035231888567861715,268.0290335242164,7547.2665873381,7533.787553813884,True,357.04578518709,24.606887194962745,final
161,0.0008318617429712407,748.5894271778851,8033.578825906615,7539.53939872873,True,315.53538299530993,53.12599309109482,final
162,0.00024137620895725166,243.71926081100025,7467.151583732576,7477.982322921576,False,,68.06190439895687,final
163,0.00044616680925565653,509.02402131411856,8047.341520116043,7792.867498801925,True,320.3718752050452,84.91567533929003,final
164,0.00015286666153913034,176.06795981975677,7310.971649426756,7389.453689606999,False,,51.30966169647655,final
165,0.00020998307748527347,210.69946417757558,7409.307408620397,7453.157944442822,False,,53.17666645694521,final
166,0.00035756302163059546,311.86062704859376,7355.276839810336,7297.966212761743,True,326.6454997328827,53.75263946323787,final
167,0.00029751443160840307,248.78167679989318,7369.211947850232,7374.980271050339,False,,29.491689350536653,final
168,0.0003229711588080251,354.33637682973136,7337.04639816603,7237.260021336298,True,380.79293092866277,11.836698129479483,final
169,0.0005473683027443324,546.9960664787549,7722.602725438017,7430.156658959262,True,282.64079868711764,96.52021031160908,final
170,0.00038806815751160195,339.4831692037641,7656.244730996777,7571.311561793013,True,297.04996307494775,39.642434030072806,final
171,0.0016277090905814525,1723.7855296237076,8813.53247867314,7344.296949049432,True,344.8007344544371,15.246792215804135,final
172,0.00043336382737370685,392.9120564180437,7389.547666757449,7251.185610339406,True,368.84140913244994,91.44191906772829,final
173,0.00048373368855533777,445.93583024408997,7638.078951940463,7446.693121696374,True,333.2482116136741,54.119363226342514,final
174,0.00020115212454115103,217.0178656538094,7659.590224720771,7697.122359066962,False,,22.65685617487089,final
175,0.00019098548115315892,182.1301890948389,7240.335910897563,7312.755721802724,False,,116.22267926767182,final
176,0.00029922276208684337,284.0400882927261,7472.207105593463,7442.717017300737,True,333.7132141846117,19.395387486459207,final
177,0.0007761066136501976,973.6330671057212,8247.09338575527,7528.010318649549,True,681.26897158924,79.53708194108584,final
178,0.0009300364919811225,892.4337558608233,8068.530152705857,7430.646396845034,True,331.262489799963,55.60317652582417,final
179,0.0003140765872933915,283.6318848438116,7642.96734339634,7613.885458552529,True,278.3238159793733,24.30034982948189,final
180,0.00043931732533318595,375.1099594894961,7589.407524953791,7468.847565464295,True,718.7771714360404,6.75972631074503,final
181,0.00039785881486344003,466.2934626751336,7576.565528982152,7364.822066307018,True,570.2181887926064,24.71278347622245,final
182,0.000337718003285575,323.1981974871836,7405.354450810258,7336.706253323075,True,454.31486661380137,6.603501571125426,final
183,0.00024079538552885109,259.2248290571649,7533.551445431884,7528.876616374719,True,238.03766674387288,37.33783686232508,final
184,0.0004040052577736019,337.6024728187386,7488.004974544601,7404.952501725863,True,241.96761246342422,57.04764362806454,final
185,0.00048234651048501535,497.87328262304925,7468.170117889003,7224.846835265955,True,401.28039085256034,93.40182530480749,final
186,0.0003929383607860906,349.94491445578564,7807.176705939563,7711.781791483778,True,301.72386390090816,35.69814222592655,final
187,0.0002498360441916219,242.98144788513676,7499.48817913693,7511.056731251793,False,,14.640773621702776,final
188,0.00017920311318050253,169.5068158884762,7195.385088382446,7280.42827249397,False,,14.3037989038644,final
189,0.00021268826218404517,184.3867306069784,7505.842488366726,7576.005757759747,False,,15.36303081688427,final
190,0.0013433436471589504,1616.7850133035329,8966.76791968387,7604.532906380338,True,477.7884145833379,94.75851182300816,final
191,0.000300397291352857,265.2354978041922,7439.610079110637,7428.924581306445,True,261.5744273505869,34.69377727615873,final
192,0.0001451365401856463,129.63810097268177,7265.37169943408,7390.2835984613985,False,,15.521206558806545,final
193,0.00031750529360916914,321.49535808040054,7342.0134809852,7275.0681229048,True,428.3478746249504,17.704796640282623,final
194,0.00028338475513247426,282.0072686216991,7518.315013204391,7490.857744582692,True,283.22834993495655,65.89223070966716,final
195,0.00018369067315248937,182.99873234625682,7407.738535115949,7479.289802769693,False,,41.862091964425844,final
