scenario_id,detector_id,time_s,background_counts,threshold_3sigma_counts,threshold_5sigma_counts,threshold_crossing_3sigma,threshold_crossing_5sigma
S1,D009,500.0,7191.575295096417,7454.55,7624.25,False,False
S1,D009,540.0,7165.917066028307,7454.55,7624.25,False,False
S1,D009,600.0,7208.902394027857,7454.55,7624.25,False,False
S1,D009,660.0,7193.217925089715,7454.55,7624.25,False,False
S1,D009,666.666667,7221.57476641257,7454.55,7624.25,False,False
S1,D009,720.0,7059.676209958115,7454.55,7624.25,False,False
S1,D009,780.0,7221.776022668734,7454.55,7624.25,False,False
S1,D009,833.333333,7086.835844207947,7454.55,7624.25,False,False
S1,D009,840.0,7182.92480559374,7454.55,7624.25,False,False
S1,D009,900.0,7218.149214297977,7454.55,7624.25,False,False
S1,D009,960.0,7127.180965935723,7454.55,7624.25,False,False
S1,D009,1000.0,7155.483489456921,7454.55,7624.25,False,False
S1,D009,1020.0,7120.615018807481,7454.55,7624.25,False,False
S1,D009,1080.0,7268.693458791279,7454.55,7624.25,False,False
S1,D009,1140.0,7120.702937338846,7454.55,7624.25,False,False
S1,D009,1166.666667,7310.7214670858375,7454.55,7624.25,False,False
S1,D009,1200.0,7213.638712725406,7454.55,7624.25,False,False
S1,D010,0.0,7055.865290358927,7454.55,7624.25,False,False
S1,D010,60.0,7245.6490459295665,7454.55,7624.25,False,False
S1,D010,120.0,7180.856653025626,7454.55,7624.25,False,False
S1,D010,166.666667,7107.495771165886,7454.55,7624.25,False,False
S1,D010,180.0,7246.999487663619,7454.55,7624.25,False,False
S1,D010,240.0,7072.627044831761,7454.55,7624.25,False,False
S1,D010,250.0,7237.797223909421,7454.55,7624.25,False,False
S1,D010,300.0,7314.107739010534,7454.55,7624.25,False,False
S1,D010,333.333333,7104.658868919103,7454.55,7624.25,False,False
S1,D010,360.0,7218.001788524525,7454.55,7624.25,False,False
S1,D010,420.0,7178.652987798149,7454.55,7624.25,False,False
S1,D010,480.0,7064.352523938597,7454.55,7624.25,False,False
S1,D010,500.0,7215.93155564261,7454.55,7624.25,False,False
S1,D010,540.0,7055.78392920422,7454.55,7624.25,False,False
S1,D010,600.0,7217.350328412588,7454.55,7624.25,False,False
S1,D010,660.0,7341.764399851203,7454.55,7624.25,False,False
S1,D010,666.666667,7265.200208631117,7454.55,7624.25,False,False
S1,D010,720.0,7277.5883902394135,7454.55,7624.25,False,False
S1,D010,780.0,7343.626412222701,7454.55,7624.25,False,False
S1,D010,833.333333,7168.330780164953,7454.55,7624.25,False,False
S1,D010,840.0,7344.625516916791,7454.55,7624.25,False,False
S1,D010,900.0,7236.906975335388,7454.55,7624.25,False,False
S1,D010,960.0,6994.309608252703,7454.55,7624.25,False,False
S1,D010,1000.0,7171.905115432427,7454.55,7624.25,False,False
S1,D010,1020.0,7114.631975900976,7454.55,7624.25,False,False
S1,D010,1080.0,7152.340253440312,7454.55,7624.25,False,False
S1,D010,1140.0,7212.381436422346,7454.55,7624.25,False,False
S1,D010,1166.666667,7138.180680158661,7454.55,7624.25,False,False
S1,D010,1200.0,7126.726852315068,7454.55,7624.25,False,False
S1,D011,0.0,7143.7887349500015,7454.55,7624.25,False,False
S1,D011,60.0,7235.440845893868,7454.55,7624.25,False,False
S1,D011,120.0,7048.415711852799,7454.55,7624.25,False,False
S1,D011,166.666667,7225.818896849535,7454.55,7624.25,False,False
S1,D011,180.0,7329.384701559861,7454.55,7624.25,False,False
S1,D011,240.0,7238.922714013003,7454.55,7624.25,False,False
S1,D011,250.0,7161.491541457825,7454.55,7624.25,False,False
S1,D011,300.0,7391.988857597837,7454.55,7624.25,False,False
