source_id,scenario_id,weather_id,x_m,y_m,z_m,x_downwind_m,y_crosswind_m,concentration_bq_m3,classification,concentration_Bq_m3
SRC_001,S1,W1,300.0,200.0,0.0,300.0,200.0,7.346946838294581e-19,downwind,7.346946838294581e-19
SRC_001,S1,W1,300.0,300.0,0.0,300.0,300.0,2.825090745968558e-38,downwind,2.825090745968558e-38
SRC_001,S1,W1,300.0,400.0,0.0,300.0,400.0,1.8617789247902686e-65,downwind,1.8617789247902686e-65
SRC_001,S1,W1,300.0,500.0,0.0,300.0,500.0,2.1027808786144943e-100,downwind,2.1027808786144943e-100
SRC_001,S1,W1,300.0,600.0,0.0,300.0,600.0,4.070334777248925e-143,downwind,4.070334777248925e-143
SRC_001,S1,W1,300.0,700.0,0.0,300.0,700.0,1.3503192037691474e-193,downwind,1.3503192037691474e-193
SRC_001,S1,W1,300.0,800.0,0.0,300.0,800.0,7.677378632889489e-252,downwind,7.677378632889489e-252
SRC_001,S1,W1,300.0,900.0,0.0,300.0,900.0,7.481004e-318,downwind,7.481004e-318
SRC_001,S1,W1,300.0,1000.0,0.0,300.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,400.0,-1000.0,0.0,400.0,1000.0,4.281505201668087e-224,downwind,4.281505201668087e-224
SRC_001,S1,W1,400.0,-900.0,0.0,400.0,900.0,3.4215912637086926e-182,downwind,3.4215912637086926e-182
SRC_001,S1,W1,400.0,-800.0,0.0,400.0,800.0,1.0618335637200194e-144,downwind,1.0618335637200194e-144
SRC_001,S1,W1,400.0,-700.0,0.0,400.0,700.0,1.2796212325536627e-111,downwind,1.2796212325536627e-111
SRC_001,S1,W1,400.0,-600.0,0.0,400.0,600.0,5.988293728680485e-83,downwind,5.988293728680485e-83
SRC_001,S1,W1,400.0,-500.0,0.0,400.0,500.0,1.0882318176042775e-58,downwind,1.0882318176042775e-58
SRC_001,S1,W1,400.0,-400.0,0.0,400.0,400.0,7.679561325879997e-39,downwind,7.679561325879997e-39
SRC_001,S1,W1,400.0,-300.0,0.0,400.0,300.0,2.1044958528110896e-23,downwind,2.1044958528110896e-23
SRC_001,S1,W1,400.0,-200.0,0.0,400.0,200.0,2.2395275213795537e-12,downwind,2.2395275213795537e-12
SRC_001,S1,W1,400.0,-100.0,0.0,400.0,100.0,9.2546798905718e-06,downwind,9.2546798905718e-06
SRC_001,S1,W1,400.0,0.0,0.0,400.0,0.0,0.0014851252003734352,downwind,0.0014851252003734352
SRC_001,S1,W1,400.0,100.0,0.0,400.0,100.0,9.2546798905718e-06,downwind,9.2546798905718e-06
SRC_001,S1,W1,400.0,200.0,0.0,400.0,200.0,2.2395275213795537e-12,downwind,2.2395275213795537e-12
SRC_001,S1,W1,400.0,300.0,0.0,400.0,300.0,2.1044958528110896e-23,downwind,2.1044958528110896e-23
SRC_001,S1,W1,400.0,400.0,0.0,400.0,400.0,7.679561325879997e-39,downwind,7.679561325879997e-39
SRC_001,S1,W1,400.0,500.0,0.0,400.0,500.0,1.0882318176042775e-58,downwind,1.0882318176042775e-58
SRC_001,S1,W1,400.0,600.0,0.0,400.0,600.0,5.988293728680485e-83,downwind,5.988293728680485e-83
SRC_001,S1,W1,400.0,700.0,0.0,400.0,700.0,1.2796212325536627e-111,downwind,1.2796212325536627e-111
SRC_001,S1,W1,400.0,800.0,0.0,400.0,800.0,1.0618335637200194e-144,downwind,1.0618335637200194e-144
SRC_001,S1,W1,400.0,900.0,0.0,400.0,900.0,3.4215912637086926e-182,downwind,3.4215912637086926e-182
SRC_001,S1,W1,400.0,1000.0,0.0,400.0,1000.0,4.281505201668087e-224,downwind,4.281505201668087e-224
SRC_001,S1,W1,500.0,-1000.0,0.0,500.0,1000.0,3.1376404835521143e-146,downwind,3.1376404835521143e-146
SRC_001,S1,W1,500.0,-900.0,0.0,500.0,900.0,3.733789121325643e-119,downwind,3.733789121325643e-119
SRC_001,S1,W1,500.0,-800.0,0.0,500.0,800.0,6.275363027881601e-95,downwind,6.275363027881601e-95
SRC_001,S1,W1,500.0,-700.0,0.0,500.0,700.0,1.489602477182452e-73,downwind,1.489602477182452e-73
SRC_001,S1,W1,500.0,-600.0,0.0,500.0,600.0,4.993952181549604e-55,downwind,4.993952181549604e-55
SRC_001,S1,W1,500.0,-500.0,0.0,500.0,500.0,2.36461715353232e-39,downwind,2.36461715353232e-39
SRC_001,S1,W1,500.0,-400.0,0.0,500.0,400.0,1.5813199660262068e-26,downwind,1.5813199660262068e-26
SRC_001,S1,W1,500.0,-300.0,0.0,500.0,300.0,1.4935547096837373e-16,downwind,1.4935547096837373e-16
SRC_001,S1,W1,500.0,-200.0,0.0,500.0,200.0,1.992346996266886e-09,downwind,1.992346996266886e-09
SRC_001,S1,W1,500.0,-100.0,0.0,500.0,100.0,3.753628480368348e-05,downwind,3.753628480368348e-05
SRC_001,S1,W1,500.0,0.0,0.0,500.0,0.0,0.0009988034973218746,downwind,0.0009988034973218746
SRC_001,S1,W1,500.0,100.0,0.0,500.0,100.0,3.753628480368348e-05,downwind,3.753628480368348e-05
SRC_001,S1,W1,500.0,200.0,0.0,500.0,200.0,1.992346996266886e-09,downwind,1.992346996266886e-09
SRC_001,S1,W1,500.0,300.0,0.0,500.0,300.0,1.4935547096837373e-16,downwind,1.4935547096837373e-16
SRC_001,S1,W1,500.0,400.0,0.0,500.0,400.0,1.5813199660262068e-26,downwind,1.5813199660262068e-26
SRC_001,S1,W1,500.0,500.0,0.0,500.0,500.0,2.36461715353232e-39,downwind,2.36461715353232e-39
SRC_001,S1,W1,500.0,600.0,0.0,500.0,600.0,4.993952181549604e-55,downwind,4.993952181549604e-55
SRC_001,S1,W1,500.0,700.0,0.0,500.0,700.0,1.489602477182452e-73,downwind,1.489602477182452e-73
SRC_001,S1,W1,500.0,800.0,0.0,500.0,800.0,6.275363027881601e-95,downwind,6.275363027881601e-95
SRC_001,S1,W1,500.0,900.0,0.0,500.0,900.0,3.733789121325643e-119,downwind,3.733789121325643e-119
SRC_001,S1,W1,500.0,1000.0,0.0,500.0,1000.0,3.1376404835521143e-146,downwind,3.1376404835521143e-146
SRC_001,S1,W1,600.0,-1000.0,0.0,600.0,1000.0,9.08287033297294e-104,downwind,9.08287033297294e-104
SRC_001,S1,W1,600.0,-900.0,0.0,600.0,900.0,8.704766193285725e-85,downwind,8.704766193285725e-85
SRC_001,S1,W1,600.0,-800.0,0.0,600.0,800.0,8.379823991224746e-68,downwind,8.379823991224746e-68
SRC_001,S1,W1,600.0,-700.0,0.0,600.0,700.0,8.103198410734306e-53,downwind,8.103198410734306e-53
SRC_001,S1,W1,600.0,-600.0,0.0,600.0,600.0,7.870853680007363e-40,downwind,7.870853680007363e-40
SRC_001,S1,W1,600.0,-500.0,0.0,600.0,500.0,7.679465518085531e-29,downwind,7.679465518085531e-29
SRC_001,S1,W1,600.0,-400.0,0.0,600.0,400.0,7.526341850882316e-20,downwind,7.526341850882316e-20
SRC_001,S1,W1,600.0,-300.0,0.0,600.0,300.0,7.409359648663155e-13,downwind,7.409359648663155e-13
SRC_001,S1,W1,600.0,-200.0,0.0,600.0,200.0,7.32691580850884e-08,downwind,7.32691580850884e-08
SRC_001,S1,W1,600.0,-100.0,0.0,600.0,100.0,7.277890488938426e-05,downwind,7.277890488938426e-05
SRC_001,S1,W1,600.0,0.0,0.0,600.0,0.0,0.0007261621721022396,downwind,0.0007261621721022396
SRC_001,S1,W1,600.0,100.0,0.0,600.0,100.0,7.277890488938426e-05,downwind,7.277890488938426e-05
SRC_001,S1,W1,600.0,200.0,0.0,600.0,200.0,7.32691580850884e-08,downwind,7.32691580850884e-08
SRC_001,S1,W1,600.0,300.0,0.0,600.0,300.0,7.409359648663155e-13,downwind,7.409359648663155e-13
SRC_001,S1,W1,600.0,400.0,0.0,600.0,400.0,7.526341850882316e-20,downwind,7.526341850882316e-20
SRC_001,S1,W1,600.0,500.0,0.0,600.0,500.0,7.679465518085531e-29,downwind,7.679465518085531e-29
SRC_001,S1,W1,600.0,600.0,0.0,600.0,600.0,7.870853680007363e-40,downwind,7.870853680007363e-40
SRC_001,S1,W1,600.0,700.0,0.0,600.0,700.0,8.103198410734306e-53,downwind,8.103198410734306e-53
SRC_001,S1,W1,600.0,800.0,0.0,600.0,800.0,8.379823991224746e-68,downwind,8.379823991224746e-68
SRC_001,S1,W1,600.0,900.0,0.0,600.0,900.0,8.704766193285725e-85,downwind,8.704766193285725e-85
SRC_001,S1,W1,600.0,1000.0,0.0,600.0,1000.0,9.08287033297294e-104,downwind,9.08287033297294e-104
SRC_001,S1,W1,700.0,-1000.0,0.0,700.0,1000.0,4.521287195613866e-78,downwind,4.521287195613866e-78
SRC_001,S1,W1,700.0,-900.0,0.0,700.0,900.0,5.400591531283713e-64,downwind,5.400591531283713e-64
SRC_001,S1,W1,700.0,-800.0,0.0,700.0,800.0,2.1272191147605393e-51,downwind,2.1272191147605393e-51
SRC_001,S1,W1,700.0,-700.0,0.0,700.0,700.0,2.762961172653535e-40,downwind,2.762961172653535e-40
SRC_001,S1,W1,700.0,-600.0,0.0,700.0,600.0,1.1833930008090115e-30,downwind,1.1833930008090115e-30
SRC_001,S1,W1,700.0,-500.0,0.0,700.0,500.0,1.6713787261890537e-22,downwind,1.6713787261890537e-22
SRC_001,S1,W1,700.0,-400.0,0.0,700.0,400.0,7.784171632477462e-16,downwind,7.784171632477462e-16
SRC_001,S1,W1,700.0,-300.0,0.0,700.0,300.0,1.1954780195808934e-10,downwind,1.1954780195808934e-10
SRC_001,S1,W1,700.0,-200.0,0.0,700.0,200.0,6.054279229016278e-07,downwind,6.054279229016278e-07
SRC_001,S1,W1,700.0,-100.0,0.0,700.0,100.0,0.00010110554118552745,downwind,0.00010110554118552745
SRC_001,S1,W1,700.0,0.0,0.0,700.0,0.0,0.0005567742332397801,downwind,0.0005567742332397801
