candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00124,-250.0,400.0,4.885019522652663,102.95450531854256,synthetic inverse modeling grid point,4.422790848493825e-22,2.917128575689415e-22
CS_00125,-250.0,450.0,17.45404260472974,102.49406592172701,synthetic inverse modeling grid point,5.567747696773668e-22,3.6723047652182153e-22
CS_00126,-250.0,500.0,83.46862844105425,101.36726582005393,synthetic inverse modeling grid point,9.780500511307729e-22,6.450899104984105e-22
CS_00127,-200.0,-500.0,137.91425397795572,89.79736150730606,synthetic inverse modeling grid point,3.1822469558163823e-19,2.0989062896505583e-19
CS_00128,-200.0,-450.0,25.444862728893078,91.48786909061278,synthetic inverse modeling grid point,1.3666107171056937e-19,9.013718512305517e-20
CS_00129,-200.0,-400.0,6.432621615328425,92.14244060635383,synthetic inverse modeling grid point,9.851592139250671e-20,6.497788823821988e-20
CS_00130,-200.0,-350.0,2.21399352100032,92.40067589656663,synthetic inverse modeling grid point,8.658274346049045e-20,5.710715332518965e-20
CS_00131,-200.0,-300.0,1.0350514812781535,92.46439645219712,synthetic inverse modeling grid point,8.386767429203478e-20,5.53163822651083e-20
CS_00132,-200.0,-250.0,0.6570414596288175,92.36423159626518,synthetic inverse modeling grid point,8.817492968406027e-20,5.81573074223874e-20
CS_00133,-200.0,-200.0,0.5671507413049055,91.98281413277425,synthetic inverse modeling grid point,1.0670109390474524e-19,7.03765610333691e-20
CS_00134,-200.0,-150.0,0.6695567109562257,90.83208582460776,synthetic inverse modeling grid point,1.8969083534973796e-19,1.2511388743005105e-19
CS_00135,-200.0,-100.0,1.1052931877539676,86.80614471473189,synthetic inverse modeling grid point,1.4199346372489656e-18,9.365425695724992e-19
CS_00136,-200.0,-50.0,2.7546963759503,68.41548423685911,synthetic inverse modeling grid point,1.398780390640726e-14,9.225899185446777e-15
CS_00137,-200.0,0.0,7.023594197983805,19.479734641837275,synthetic inverse modeling grid point,0.0005915787206073259,0.0003901860272775737
CS_00138,-200.0,50.0,2.466527984937607,80.91404446177,synthetic inverse modeling grid point,2.702225989588861e-17,1.782300118235238e-17
CS_00139,-200.0,100.0,0.9529727526345315,98.26341001912871,synthetic inverse modeling grid point,4.6169460908665355e-21,3.045187040366354e-21
CS_00140,-200.0,150.0,0.5719632753498395,101.81033941162707,synthetic inverse modeling grid point,7.836982413049199e-22,5.169017963412547e-22
CS_00141,-200.0,200.0,0.48321105714611695,102.80118643054894,synthetic inverse modeling grid point,4.775173720440738e-22,3.149548823572018e-22
CS_00142,-200.0,250.0,0.5593124711564537,103.12722698618192,synthetic inverse modeling grid point,4.056863250872782e-22,2.6757746685705093e-22
CS_00143,-200.0,300.0,0.8808965106408875,103.21266066947487,synthetic inverse modeling grid point,3.887216057832942e-22,2.563880913800137e-22
CS_00144,-200.0,350.0,1.884528355577439,103.15824856846473,synthetic inverse modeling grid point,3.994423588411226e-22,2.634591503943804e-22
CS_00145,-200.0,400.0,5.47860593630061,102.93759082119648,synthetic inverse modeling grid point,4.460354107547192e-22,2.9419040760768944e-22
CS_00146,-200.0,450.0,21.7033652868047,102.3765571958505,synthetic inverse modeling grid point,5.904678317441587e-22,3.8945332121975416e-22
CS_00147,-200.0,500.0,118.08249546818652,100.91558855656486,synthetic inverse modeling grid point,1.2258619123619818e-21,8.085385307374891e-22
CS_00148,-150.0,-500.0,205.3117648671978,89.04224582404373,synthetic inverse modeling grid point,4.642000329272235e-19,3.061711998769099e-19
CS_00149,-150.0,-450.0,32.73560405581872,91.29673446503976,synthetic inverse modeling grid point,1.503658379274811e-19,9.917640188097868e-20
CS_00150,-150.0,-400.0,7.3643629152934444,92.10938436719191,synthetic inverse modeling grid point,1.0015773499211977e-19,6.606077493384958e-20
CS_00151,-150.0,-350.0,2.316672632166163,92.41816643858009,synthetic inverse modeling grid point,8.582885518780925e-20,5.660991321177475e-20
CS_00152,-150.0,-300.0,1.0158162503920063,92.50563039818397,synthetic inverse modeling grid point,8.21562792290079e-20,5.418760190590375e-20
CS_00153,-150.0,-250.0,0.620434619915345,92.42876240476322,synthetic inverse modeling grid point,8.537533778881189e-20,5.631078792877881e-20
CS_00154,-150.0,-200.0,0.5285258893257299,92.0839411039445,synthetic inverse modeling grid point,1.0144004403859418e-19,6.690654415298627e-20
CS_00155,-150.0,-150.0,0.6315481370363775,90.99170258921578,synthetic inverse modeling grid point,1.751402676305005e-19,1.1551680759057674e-19
CS_00156,-150.0,-100.0,1.0828518939343075,87.00867659046052,synthetic inverse modeling grid point,1.2831845304152907e-18,8.463466597864996e-19
CS_00157,-150.0,-50.0,2.8911348219482256,67.80121303373048,synthetic inverse modeling grid point,1.9016773432732197e-14,1.2542843443959393e-14
CS_00158,-150.0,0.0,7.937398866309383,13.454879207224549,synthetic inverse modeling grid point,0.012030765966108583,0.007935100797072207
CS_00159,-150.0,50.0,2.5854256819034758,80.55032690232365,synthetic inverse modeling grid point,3.2411709008089286e-17,2.137770601714658e-17
CS_00160,-150.0,100.0,0.9328935655255819,98.46564763066031,synthetic inverse modeling grid point,4.17291428685897e-21,2.752318146413003e-21
CS_00161,-150.0,150.0,0.5392809754582948,101.9502117626906,synthetic inverse modeling grid point,7.307620358738427e-22,4.819868019765203e-22
CS_00162,-150.0,200.0,0.4501982058089375,102.88786542479423,synthetic inverse modeling grid point,4.572640634473441e-22,3.015964606538792e-22
CS_00163,-150.0,250.0,0.5280729400837068,103.18230065680054,synthetic inverse modeling grid point,3.946674167714399e-22,2.603097543600921e-22
CS_00164,-150.0,300.0,0.8644448026946767,103.24783015102209,synthetic inverse modeling grid point,3.81945787221374e-22,2.5191898247847126e-22
CS_00165,-150.0,350.0,1.9718491961370777,103.17317405808066,synthetic inverse modeling grid point,3.9647251781759644e-22,2.6150034012915316e-22
CS_00166,-150.0,400.0,6.272633790491917,102.90931568314562,synthetic inverse modeling grid point,4.523860527061833e-22,2.983790838859034e-22
