run_name,sample_id,localization_error_m
final,1062,63.335942006652054
final,1063,49.229760554866004
final,1064,28.222503035696818
final,1065,86.66889590989966
final,1066,7.823836237681613
final,1067,28.824168157485765
final,1068,34.74098319235965
final,1069,59.76687053979553
final,1070,58.05468634527332
final,1071,19.467439035095946
final,1072,41.91577648419149
final,1073,15.732591196353312
final,1074,28.89859212255054
final,1075,28.776473546720883
final,1076,32.154996785742135
final,1077,42.411820637034594
final,1078,16.846129265711262
final,1079,93.00005155390521
final,1080,80.9353130039045
final,1081,33.92428176930133
final,1082,29.732472191641534
final,1083,49.89797851504658
final,1084,34.03535557422743
final,1085,13.115462456482952
final,1086,27.163636010856052
final,1087,65.99885577199946
final,1088,93.12898175702844
final,1089,104.12105453334824
final,1090,49.70131369307579
final,1091,84.161253501987
final,1092,20.8448440689572
final,1093,37.44419394760507
final,1094,97.14710665273608
final,1095,36.613350847713725
final,1096,39.69220071782054
final,1097,57.08785388097196
final,1098,18.147032767389092
final,1099,59.95686134345401
final,1100,6.655723913327107
final,1101,38.768919520948955
final,1102,22.757535902477716
final,1103,27.893220110666558
final,1104,20.26082466468938
final,1105,46.77609817091698
final,1106,42.43696556175004
final,1107,46.68844913137729
final,1108,80.47361205559554
final,1109,92.43546950960017
final,1110,83.30902097538775
final,1111,51.42202506646204
final,1112,61.637105063357744
final,1113,50.02348095101355
final,1114,54.55100737862195
final,1115,38.60165805524437
final,1116,14.865227999973452
final,1117,77.16159417236807
final,1118,30.545010329336755
final,1119,67.57276122017208
final,1120,133.19421364037993
final,1121,22.081772732780635
final,1122,35.70821058820079
final,1123,23.24647760346261
final,1124,29.235976569282105
final,1125,55.51813519253125
final,1126,28.467076074636232
final,1127,34.73968683717663
final,1128,36.006001322138154
final,1129,40.1387437742132
final,1130,125.22586507032315
final,1131,65.46187010946208
final,1132,76.85204815825156
final,1133,53.10855239007959
final,1134,64.59566304490774
final,1135,27.5086882562826
final,1136,48.32819568386317
final,1137,36.101981928991364
final,1138,49.84697187865195
