candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00173,-100.0,-300.0,1.000562031305245,92.54361222087861,synthetic inverse modeling grid point
CS_00174,-100.0,-250.0,0.5849324531582912,92.48924930801078,synthetic inverse modeling grid point
CS_00175,-100.0,-200.0,0.4908932585587644,92.18001903984343,synthetic inverse modeling grid point
CS_00176,-100.0,-150.0,0.5947818309283066,91.14178336453563,synthetic inverse modeling grid point
CS_00177,-100.0,-100.0,1.0652864082845104,87.15780025634693,synthetic inverse modeling grid point
CS_00178,-100.0,-50.0,3.07828125242844,66.70942688935672,synthetic inverse modeling grid point
CS_00179,-100.0,0.0,8.951096614007426,7.8217017628135395,synthetic inverse modeling grid point
CS_00180,-100.0,50.0,2.7515674429350283,79.72294712449171,synthetic inverse modeling grid point
CS_00181,-100.0,100.0,0.9172322586640609,98.61417124150718,synthetic inverse modeling grid point
CS_00182,-100.0,150.0,0.50770513634012,102.08058565419871,synthetic inverse modeling grid point
CS_00183,-100.0,200.0,0.4180513169742796,102.97003468631951,synthetic inverse modeling grid point
CS_00184,-100.0,250.0,0.4977872714752952,103.23389367643786,synthetic inverse modeling grid point
CS_00185,-100.0,300.0,0.8513898929647069,103.28021923344141,synthetic inverse modeling grid point
CS_00186,-100.0,350.0,2.088930317766318,103.18378148808881,synthetic inverse modeling grid point
CS_00187,-100.0,400.0,7.361953232137988,102.8657740845437,synthetic inverse modeling grid point
CS_00188,-100.0,450.0,37.470406726109125,101.97798245717203,synthetic inverse modeling grid point
CS_00189,-100.0,500.0,279.760976984972,99.2623207210605,synthetic inverse modeling grid point
CS_00190,-50.0,-500.0,555.9460498160265,86.15782416820785,synthetic inverse modeling grid point
CS_00191,-50.0,-450.0,61.82659530892821,90.6265566708699,synthetic inverse modeling grid point
CS_00192,-50.0,-400.0,10.449614364133536,91.98268681628703,synthetic inverse modeling grid point
CS_00193,-50.0,-350.0,2.6396256915184306,92.43702723300187,synthetic inverse modeling grid point
CS_00194,-50.0,-300.0,0.9901256420181069,92.5783714193129,synthetic inverse modeling grid point
CS_00195,-50.0,-250.0,0.5505856936700396,92.54572074984085,synthetic inverse modeling grid point
CS_00196,-50.0,-200.0,0.45427375790199276,92.27110507327811,synthetic inverse modeling grid point
CS_00197,-50.0,-150.0,0.5592842919689133,91.28455938517038,synthetic inverse modeling grid point
CS_00198,-50.0,-100.0,1.0534271050723236,87.25534908864333,synthetic inverse modeling grid point
CS_00199,-50.0,-50.0,3.335022385914518,64.99616013630862,synthetic inverse modeling grid point
CS_00200,-50.0,0.0,9.888064749910807,4.614303047841027,synthetic inverse modeling grid point
CS_00201,-50.0,50.0,2.982799735987572,78.29203932267343,synthetic inverse modeling grid point
CS_00202,-50.0,100.0,0.9066707970979996,98.71179807711333,synthetic inverse modeling grid point
CS_00203,-50.0,150.0,0.4772479097995358,102.20380975452537,synthetic inverse modeling grid point
CS_00204,-50.0,200.0,0.38678577116065244,103.04782842452593,synthetic inverse modeling grid point
CS_00205,-50.0,250.0,0.46849730509066184,103.28204392665808,synthetic inverse modeling grid point
CS_00206,-50.0,300.0,0.8424425627652571,103.30985538948245,synthetic inverse modeling grid point
CS_00207,-50.0,350.0,2.246636004649038,103.18926702350359,synthetic inverse modeling grid point
CS_00208,-50.0,400.0,8.903077502123852,102.80089199702117,synthetic inverse modeling grid point
CS_00209,-50.0,450.0,52.83784046810981,101.63442477442042,synthetic inverse modeling grid point
CS_00210,-50.0,500.0,479.8903311761031,97.70286088063182,synthetic inverse modeling grid point
CS_00211,0.0,-500.0,1038.4589649041814,83.39886575599782,synthetic inverse modeling grid point
CS_00212,0.0,-450.0,92.54985482146276,90.02299662296707,synthetic inverse modeling grid point
CS_00213,0.0,-400.0,13.103329160756148,91.87057896909073,synthetic inverse modeling grid point
CS_00214,0.0,-350.0,2.8920429180217764,92.43600593118953,synthetic inverse modeling grid point
CS_00215,0.0,-300.0,0.9856515015374733,92.60991069817939,synthetic inverse modeling grid point
CS_00216,0.0,-250.0,0.517454496515029,92.5982554602063,synthetic inverse modeling grid point
CS_00217,0.0,-200.0,0.41869190512857657,92.35702116481154,synthetic inverse modeling grid point
CS_00218,0.0,-150.0,0.5250989095468404,91.42174815091725,synthetic inverse modeling grid point
CS_00219,0.0,-100.0,1.0484676101034587,87.30077841928929,synthetic inverse modeling grid point
CS_00220,0.0,-50.0,3.6888474946309175,62.48366362250205,synthetic inverse modeling grid point
CS_00221,0.0,0.0,10.393074746448814,7.017066329981098,synthetic inverse modeling grid point
CS_00222,0.0,50.0,3.305307669221995,76.07965680032537,synthetic inverse modeling grid point
CS_00223,0.0,100.0,0.9022108802921581,98.75931977991027,synthetic inverse modeling grid point
CS_00224,0.0,150.0,0.4479386129472071,102.32168939311177,synthetic inverse modeling grid point
CS_00225,0.0,200.0,0.35642064262153567,103.12114667844295,synthetic inverse modeling grid point
CS_00226,0.0,250.0,0.44025294963501527,103.32682556685158,synthetic inverse modeling grid point
CS_00227,0.0,300.0,0.8385753028980192,103.33674226427469,synthetic inverse modeling grid point
CS_00228,0.0,350.0,2.461478938943129,103.18839408330993,synthetic inverse modeling grid point
